UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 16:46 ?        00:00:05 /sbin/init splash
root           2       0  0 16:46 ?        00:00:00 [kthreadd]
root           3       2  0 16:46 ?        00:00:00 [rcu_gp]
root           4       2  0 16:46 ?        00:00:00 [rcu_par_gp]
root           5       2  0 16:46 ?        00:00:00 [slub_flushwq]
root           6       2  0 16:46 ?        00:00:00 [netns]
root           8       2  0 16:46 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 16:46 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 16:46 ?        00:00:00 [rcu_tasks_kthread]
root          12       2  0 16:46 ?        00:00:00 [rcu_tasks_rude_kthread]
root          13       2  0 16:46 ?        00:00:00 [rcu_tasks_trace_kthread]
root          14       2  0 16:46 ?        00:00:00 [ksoftirqd/0]
root          15       2  0 16:46 ?        00:00:03 [rcu_preempt]
root          16       2  0 16:46 ?        00:00:00 [migration/0]
root          17       2  0 16:46 ?        00:00:00 [idle_inject/0]
root          19       2  0 16:46 ?        00:00:00 [cpuhp/0]
root          20       2  0 16:46 ?        00:00:00 [cpuhp/1]
root          21       2  0 16:46 ?        00:00:00 [idle_inject/1]
root          22       2  0 16:46 ?        00:00:00 [migration/1]
root          23       2  0 16:46 ?        00:00:01 [ksoftirqd/1]
root          25       2  0 16:46 ?        00:00:00 [kworker/1:0H-events_highpri]
root          26       2  0 16:46 ?        00:00:00 [kdevtmpfs]
root          27       2  0 16:46 ?        00:00:00 [inet_frag_wq]
root          28       2  0 16:46 ?        00:00:00 [kauditd]
root          29       2  0 16:46 ?        00:00:00 [khungtaskd]
root          31       2  0 16:46 ?        00:00:00 [oom_reaper]
root          33       2  0 16:46 ?        00:00:00 [writeback]
root          34       2  0 16:46 ?        00:00:01 [kcompactd0]
root          35       2  0 16:46 ?        00:00:00 [ksmd]
root          36       2  0 16:46 ?        00:00:00 [khugepaged]
root          37       2  0 16:46 ?        00:00:00 [kintegrityd]
root          38       2  0 16:46 ?        00:00:00 [kblockd]
root          39       2  0 16:46 ?        00:00:00 [blkcg_punt_bio]
root          41       2  0 16:46 ?        00:00:00 [tpm_dev_wq]
root          42       2  0 16:46 ?        00:00:00 [ata_sff]
root          43       2  0 16:46 ?        00:00:00 [md]
root          44       2  0 16:46 ?        00:00:00 [edac-poller]
root          45       2  0 16:46 ?        00:00:00 [devfreq_wq]
root          46       2  0 16:46 ?        00:00:00 [watchdogd]
root          47       2  0 16:46 ?        00:00:01 [kworker/1:1H-kblockd]
root          48       2  0 16:46 ?        00:00:11 [kswapd0]
